Orbit N0.,Solar Longitude,Solar Latitude,Spacecraft Longitude,Spacecraft Latitude,Altitude,Solar Distance,Martian Year,Ls
93,95.96,-13.9,141.11,40.87,184.26,210106206.5,32,214.6
94,28.57,-13.94,73.44,41,183.53,210083953.9,32,214.7
95,321.18,-13.98,5.74,41.13,184.3,210061766.2,32,214.8
96,253.78,-14.02,298.03,41.27,184.71,210039636.3,32,215
97,186.4,-14.06,230.34,41.43,184.01,210017575.1,32,215
98,119,-14.11,162.64,41.51,185.02,209995572.6,32,215.2
99,51.61,-14.15,94.95,41.66,184.5,209973634.3,32,215.3
100,344.22,-14.19,27.27,41.78,184.42,209951762.4,32,215.5
101,276.83,-14.23,319.55,41.93,185.4,209929950.1,32,215.6
102,209.43,-14.27,251.85,42.08,184.67,209908202.3,32,215.6
103,142.05,-14.31,184.19,42.18,185.29,209886520.9,32,215.8
104,74.66,-14.36,116.46,42.33,185.11,209864900.3,32,216
105,7.27,-14.4,48.8,42.45,184.41,209843347,32,216.1
106,299.89,-14.44,341.09,42.58,185.64,209821856.6,32,216.1
107,232.49,-14.48,273.39,42.73,185.35,209800427.5,32,216.3
108,165.12,-14.52,205.72,42.86,185.14,209779069,32,216.4
109,97.72,-14.56,137.98,42.99,185.53,209757767.5,32,216.6
110,30.34,-14.61,70.32,43.12,184.78,209736533.1,32,216.6
111,322.96,-14.65,2.61,43.25,185.62,209715365,32,216.7
112,255.56,-14.69,294.9,43.39,185.95,209694256.7,32,216.9
113,188.18,-14.73,227.22,43.55,185.26,209673218.7,32,217.1
114,120.79,-14.77,159.51,43.63,186.28,209652241,32,217.2
115,53.4,-14.81,91.82,43.78,185.74,209631329.3,32,217.2
116,346.02,-14.85,24.14,43.9,185.74,209610485.5,32,217.3
117,278.63,-14.89,316.42,44.05,186.68,209589702.9,32,217.5
118,211.24,-14.93,248.72,44.2,185.9,209568986.9,32,217.7
119,143.86,-14.98,181.05,44.29,186.63,209548338.2,32,217.7
120,76.47,-15.02,113.33,44.44,186.42,209527752.3,32,217.8
121,9.09,-15.06,45.67,44.56,185.75,209507235.3,32,217.9
122,301.71,-15.1,337.95,44.7,186.99,209486782.6,32,218.1
123,234.32,-15.14,270.25,44.84,186.64,209466393.1,32,218.1
124,166.95,-15.18,202.58,44.97,186.49,209446075.4,32,218.3
125,99.56,-15.22,134.84,45.1,186.82,209425817.1,32,218.4
126,32.18,-15.26,67.17,45.22,186.05,209405627.4,32,218.5
127,324.8,-15.3,359.47,45.35,186.95,209385505.4,32,218.7
128,257.41,-15.34,291.75,45.5,187.21,209365445.1,32,218.7
129,190.04,-15.38,224.07,45.65,186.54,209345456.6,32,218.9
130,122.65,-15.42,156.36,45.73,187.58,209325530.1,32,219
131,55.27,-15.46,88.67,45.88,187.02,209305671.3,32,219.2
132,347.89,-15.5,20.98,46,187.08,209285881.8,32,219.2
133,280.51,-15.54,313.26,46.15,187.98,209266155.1,32,219.3
134,213.13,-15.58,245.56,46.31,187.15,209246497,32,219.5
135,145.75,-15.62,177.9,46.38,187.99,209226906.8,32,219.7
136,78.37,-15.66,110.17,46.54,187.75,209207381.6,32,219.7
137,11.06,-15.7,42.57,46.65,169.93,209187945,32,219.8
138,303.81,-15.74,334.98,46.79,171.18,209168593.1,32,220
139,236.56,-15.78,267.41,46.94,170.77,209149306.1,32,220.2
140,169.32,-15.82,199.87,47.06,170.67,209130091.8,32,220.3
141,102.07,-15.86,132.25,47.19,170.97,209110939,32,220.3
